#Network	Quality Score	P-value	Gene List
N010M00001	0.7044	0.00000	Svm2G0044710 Svm1G0000070 Svm1G0025790 Svm1G0044150 Svm2G0004630 Svm2G0017010 Svm2G0022950 Svm2G0027680 Svm2G0033470 Svm2G0035150 Svm2G0052000 Svm3G0008810 Svm3G0014920 Svm3G0015230 Svm3G0020860 Svm3G0023520 Svm3G0023820 Svm3G0034420 Svm3G0036300 Svm3G0037790 Svm3G0037940 Svm3G0038050 Svm3G0038060 Svm3G0046360 Svm4G0011860 Svm4G0014200 Svm4G0015650 Svm4G0016300 Svm4G0018630 Svm4G0030730 Svm4G0032860 Svm5G0000610 Svm5G0039450 Svm5G0042300 Svm5G0044760 Svm5G0046180 Svm5G0056790 Svm5G0057820 Svm6G0008840 Svm6G0022300 Svm6G0024570 Svm6G0032640 Svm7G0002550 Svm7G0007870 Svm7G0026740 Svm7G0027450 Svm7G0034670 Svm7G0041370 Svm8G0014020 Svm9G0006500 Svm8G0018740 Svm8G0022990 Svm8G0026330 Svm8G0030860 Svm8G0030900 Svm8G0001250 Svm8G0034350 Svm8G0036650 Svm8G0037690 Svm9G0044190 Svm9G0050730 Svm2G0003050 Svm9G0053900 Svm4G0035460 Svm8G0022840
N010M00002	0.6916	0.00000	Svm9G0055880 Svm1G0005040 Svm1G0015260 Svm1G0019300 Svm1G0038070 Svm2G0010570 Svm2G0020780 Svm2G0034050 Svm2G0036820 Svm2G0034120 Svm2G0043670 Svm3G0012340 Svm3G0022260 Svm3G0028600 Svm3G0045360 Svm4G0004700 Svm4G0014460 Svm4G0014890 Svm5G0013310 Svm5G0018980 Svm5G0028970 Svm5G0044810 Svm5G0048560 Svm6G0016040 Svm6G0018370 Svm6G0024530 Svm6G0033350 Svm7G0004000 Svm7G0005970 Svm7G0006780 Svm7G0007820 Svm7G0009010 Svm7G0010610 Svm7G0010930 Svm7G0018070 Svm7G0039300 Svm8G0013190 Svm8G0014620 Svm8G0018260 Svm8G0020210 Svm9G0003860 Svm9G0043960 Svm9G0046070 Svm9G0047820 Svm9G0050580 Svm9G0063920 Svm9G0065720 Svm9G0066030 Svm7G0001710 Svm7G0008990 Svm2G0024400 Svm2G0011640 Svm3G0028570 Svm2G0016060 Svm5G0038440 Svm4G0034270 Svm7G0029220 Svm4G0036650
N010M00003	0.7314	0.00000	Svm9G0033340 Svm1G0022250 Svm1G0027170 Svm1G0028220 Svm1G0030900 Svm1G0042130 Svm1G0043230 Svm5G0051800 Svm1G0047230 Svm2G0051640 Svm3G0004340 Svm3G0010290 Svm4G0022880 Svm3G0021870 Svm3G0030770 Svm3G0033500 Svm3G0034810 Svm4G0017930 Svm4G0017970 Svm4G0025660 Svm4G0031960 Svm5G0001060 Svm5G0004200 Svm5G0008980 Svm5G0014650 Svm5G0024420 Svm5G0026140 Svm5G0028370 Svm5G0030490 Svm5G0038090 Svm5G0041370 Svm5G0044090 Svm6G0000060 Svm6G0014120 Svm6G0015640 Svm6G0016160 Svm6G0031220 Svm7G0001090 Svm7G0015740 Svm8G0008680 Svm9G0051790 Svm9G0026410 Svm8G0023950 Svm8G0007650 Svm7G0003660 Svm7G0004220 Svm7G0005410 Svm7G0006610 Svm7G0008920 Svm8G0015480 Svm7G0008930 Svm7G0033820 Svm8G0011230 Svm8G0017870 Svm8G0036000 Svm9G0003790 Svm9G0010020 Svm9G0018650 Svm9G0021900 Svm9G0034080 Svm9G0041600 Svm9G0058180 Svm4G0037940 Svm5G0001410 Svm4G0032770 Svm4G0021150 Svm4G0017200
N010M00004	0.6722	0.00000	Svm1G0004370 Svm1G0015820 Svm1G0016150 Svm1G0027160 Svm3G0009470 Svm1G0036400 Svm1G0040190 Svm2G0023590 Svm2G0025950 Svm2G0029290 Svm4G0012600 Svm2G0033790 Svm3G0012260 Svm3G0039510 Svm3G0048130 Svm3G0049970 Svm4G0029330 Svm4G0035540 Svm5G0002650 Svm5G0005850 Svm5G0013210 Svm5G0019310 Svm6G0001760 Svm6G0007740 Svm6G0014110 Svm2G0009610 Svm6G0023740 Svm5G0024870 Svm6G0018140 Svm6G0023170 Svm7G0002230 Svm9G0002130 Svm7G0025480 Svm8G0006960 Svm8G0025120 Svm8G0025340 Svm8G0027780 Svm9G0003800 Svm9G0028630 Svm9G0031580 Svm9G0033590 Svm2G0022740 Svm9G0042590 Svm4G0034570 Svm2G0024890 Svm4G0033510 Svm2G0037000 Svm9G0051990 Svm4G0005340 Svm6G0012930 Svm5G0020530 Svm2G0028140 Svm5G0021370 Svm4G0005760 Svm8G0024880 Svm4G0018450 Svm1G0025840 Svm3G0001220 Svm9G0034170 Svm3G0042400
N010M00005	0.6744	0.00000	Svm3G0044360 Svm1G0001920 Svm1G0025600 Svm2G0009940 Svm3G0005300 Svm8G0033680 Svm1G0016700 Svm1G0025440 Svm2G0010970 Svm2G0026430 Svm2G0027100 Svm3G0004130 Svm3G0006150 Svm7G0014380 Svm6G0029590 Svm9G0029750 Svm9G0067790 Svm3G0015010 Svm3G0045810 Svm3G0048560 Svm4G0022770 Svm5G0016900 Svm5G0019010 Svm6G0009100 Svm6G0018000 Svm6G0019920 Svm6G0025430 Svm7G0039010 Svm8G0000520 Svm8G0003670 Svm8G0008110 Svm8G0008160 Svm8G0031270 Svm9G0030370 Svm9G0049830 Svm5G0046330 Svm5G0024520 Svm1G0018560 Svm9G0028420 Svm4G0035820 Svm3G0037980 Svm9G0041950 Svm2G0018710 Svm9G0021400 Svm1G0048610 Svm6G0014910 Svm4G0005860 Svm3G0009620 Svm3G0011410 Svm7G0017010 Svm3G0053680 Svm9G0002300 Svm2G0056580 Svm4G0022320 Svm4G0032420 Svm6G0000910 Svm2G0027690 Svm9G0017980
N010M00006	0.5939	0.00000	Svm3G0048510 Svm1G0026420 Svm1G0027520 Svm2G0057320 Svm3G0012170 Svm3G0012220 Svm3G0031200 Svm3G0049770 Svm4G0029790 Svm5G0010440 Svm6G0005900 Svm7G0010600 Svm2G0048120 Svm2G0016410 Svm1G0017550 Svm2G0014880 Svm9G0036370 Svm4G0024220 Svm8G0018600 Svm8G0021720 Svm9G0007300 Svm9G0017920 Svm6G0014690 Svm9G0029810 Svm9G0037450 Svm5G0025690 Svm1G0019690 Svm7G0004820 Svm7G0017800 Svm4G0027520 Svm9G0049110 Svm1G0030040 Svm1G0003480 Svm8G0006740 Svm8G0006610 Svm5G0016990 Svm7G0001000 Svm3G0010490 Svm1G0022110 Svm2G0021410 Svm5G0020640 Svm6G0004270 Svm3G0034710 Svm8G0030230 Svm6G0010320 Svm7G0015560 Svm2G0002010 Svm6G0029090 Svm5G0001510 Svm4G0010360 Svm4G0024950
N010M00007	0.6890	0.00000	Svm6G0016440 Svm5G0022940 Svm1G0010900 Svm1G0025900 Svm7G0038220 Svm1G0030160 Svm2G0007010 Svm2G0017840 Svm2G0023370 Svm2G0052310 Svm3G0009840 Svm3G0024250 Svm3G0032830 Svm3G0040570 Svm4G0015860 Svm4G0017190 Svm5G0013110 Svm6G0008240 Svm7G0026200 Svm8G0023960 Svm6G0010720 Svm6G0017280 Svm7G0003590 Svm7G0003600 Svm7G0008090 Svm7G0019580 Svm7G0030410 Svm8G0001520 Svm8G0009500 Svm8G0011030 Svm8G0011910 Svm8G0014210 Svm8G0014410 Svm8G0027400 Svm8G0027970 Svm9G0005200 Svm9G0011710 Svm9G0018080 Svm9G0027160 Svm9G0032750 Svm9G0041850 Svm9G0058860 Svm2G0013430 Svm5G0003280 Svm4G0007560 Svm8G0007760 Svm8G0025770 Svm5G0052520 Svm7G0011760 Svm6G0028550 Svm3G0033060 Svm3G0028800 Svm3G0027740 Svm6G0014260 Svm6G0017130
N010M00008	0.6228	0.00000	Svm9G0033370 Svm8G0006720 Svm9G0005760 Svm3G0038480 Svm8G0010290 Svm9G0044260 Svm5G0016520 Svm1G0023980 Svm7G0012230 Svm1G0024130 Svm3G0030850 Svm4G0017800 Svm4G0024910 Svm4G0034790 Svm5G0027600 Svm8G0013720 Svm9G0024130 Svm6G0007070 Svm6G0015690 Svm6G0021670 Svm8G0010550 Svm8G0006170 Svm5G0040700 Svm7G0009460 Svm1G0023000 Svm6G0005910 Svm8G0024670 Svm8G0029420 Svm1G0018000 Svm3G0009950 Svm5G0004230 Svm5G0018250 Svm7G0009130 Svm9G0035090 Svm8G0031860 Svm8G0033490 Svm8G0036820 Svm9G0047680 Svm8G0005960 Svm8G0029250 Svm8G0012300 Svm6G0018120 Svm8G0013320 Svm9G0023610 Svm8G0019210 Svm6G0007770 Svm3G0028880 Svm2G0041910 Svm9G0018720 Svm3G0027790 Svm4G0011740
N010M00009	0.5794	0.00000	Svm1G0046290 Svm5G0033260 Svm6G0007480 Svm6G0023610 Svm7G0008190 Svm8G0014740 Svm8G0017520 Svm9G0015150 Svm9G0020260 Svm9G0027010 Svm2G0006630 Svm4G0014250 Svm1G0013770 Svm8G0028450 Svm2G0014100 Svm7G0025950 Svm8G0009390 Svm5G0012100 Svm4G0000440 Svm4G0035770 Svm3G0024070 Svm1G0018350 Svm5G0010780 Svm1G0003260 Svm8G0029330 Svm3G0006790 Svm4G0032190 Svm8G0020030 Svm9G0068000 Svm1G0015750 Svm5G0015770 Svm6G0010030 Svm8G0013390 Svm1G0015790 Svm8G0011780 Svm8G0028310 Svm6G0012910 Svm4G0010130 Svm1G0015710 Svm7G0036290 Svm5G0058330 Svm7G0001720 Svm4G0018730 Svm6G0031210 Svm5G0001430 Svm5G0024730 Svm6G0031090 Svm5G0042330 Svm8G0005020 Svm9G0036870 Svm7G0008300 Svm5G0054770 Svm7G0016160
N010M00010	0.6001	0.00000	Svm8G0028010 Svm4G0037240 Svm1G0024650 Svm1G0039790 Svm2G0017800 Svm3G0054280 Svm5G0019120 Svm5G0056540 Svm6G0017010 Svm8G0033570 Svm9G0029820 Svm2G0030550 Svm4G0001170 Svm2G0057680 Svm2G0016100 Svm7G0019240 Svm7G0016710 Svm1G0028370 Svm3G0008990 Svm4G0037580 Svm9G0037720 Svm2G0020310 Svm9G0002420 Svm4G0017330 Svm2G0022190 Svm6G0003630 Svm2G0035680 Svm5G0014170 Svm6G0027250 Svm1G0002390 Svm3G0042250 Svm8G0032110 Svm2G0009430 Svm8G0002600 Svm1G0021690 Svm1G0041160 Svm2G0020370 Svm8G0013010 Svm4G0017630 Svm1G0030130 Svm2G0039910 Svm3G0001560 Svm5G0013960 Svm5G0038590 Svm8G0017580 Svm6G0028220 Svm5G0004790 Svm3G0019080 Svm4G0012160 Svm3G0035780 Svm6G0004590 Svm9G0004310 Svm5G0024620 Svm5G0030260 Svm1G0024460 Svm4G0011130 Svm6G0016790
