#Sample	Condition	Experiment	Institution	Tissue
HappyLeaf_Purdue_1_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_2_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_3_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_4_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_5_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_6_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_7_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_Purdue_8_L	HappyLeaf_Purdue_L	Happy Plants	Purdue	Leaf
HappyLeaf_APL_1_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_APL_2_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_APL_3_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_APL_4_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_APL_5_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_APL_6_L	HappyLeaf_APL_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_1_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_2_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_3_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_4_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_5_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_6_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_7_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_UMN_8_L	HappyLeaf_UMN_L	Happy Plants	APL	Leaf
HappyLeaf_Cornell_1_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_2_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_3_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_4_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_5_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_6_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_7_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
HappyLeaf_Cornell_8_L	HappyLeaf_Cornell_L	Happy Plants	Cornell	Leaf
Herbivory_0h_2_L	Herbivory_0h_L	Herbivory	BTI	Leaf
Herbivory_0h_3_L	Herbivory_0h_L	Herbivory	BTI	Leaf
Herbivory_0h_4_L	Herbivory_0h_L	Herbivory	BTI	Leaf
Herbivory_0h_5_L	Herbivory_0h_L	Herbivory	BTI	Leaf
Herbivory_1h_1_L	Herbivory_1h_L	Herbivory	BTI	Leaf
Herbivory_1h_2_L	Herbivory_1h_L	Herbivory	BTI	Leaf
Herbivory_1h_3_L	Herbivory_1h_L	Herbivory	BTI	Leaf
Herbivory_1h_4_L	Herbivory_1h_L	Herbivory	BTI	Leaf
Herbivory_1h_5_L	Herbivory_1h_L	Herbivory	BTI	Leaf
Herbivory_4h_1_L	Herbivory_4h_L	Herbivory	BTI	Leaf
Herbivory_4h_2_L	Herbivory_4h_L	Herbivory	BTI	Leaf
Herbivory_4h_3_L	Herbivory_4h_L	Herbivory	BTI	Leaf
Herbivory_4h_4_L	Herbivory_4h_L	Herbivory	BTI	Leaf
Herbivory_4h_5_L	Herbivory_4h_L	Herbivory	BTI	Leaf
Herbivory_8h_1_L	Herbivory_8h_L	Herbivory	BTI	Leaf
Herbivory_8h_2_L	Herbivory_8h_L	Herbivory	BTI	Leaf
Herbivory_8h_3_L	Herbivory_8h_L	Herbivory	BTI	Leaf
Herbivory_8h_4_L	Herbivory_8h_L	Herbivory	BTI	Leaf
Herbivory_8h_5_L	Herbivory_8h_L	Herbivory	BTI	Leaf
Herbivory_24h_1_L	Herbivory_24h_L	Herbivory	BTI	Leaf
Herbivory_24h_2_L	Herbivory_24h_L	Herbivory	BTI	Leaf
Herbivory_24h_4_L	Herbivory_24h_L	Herbivory	BTI	Leaf
Herbivory_24h_5_L	Herbivory_24h_L	Herbivory	BTI	Leaf
Herbivory_48h_1_L	Herbivory_48h_L	Herbivory	BTI	Leaf
Herbivory_48h_2_L	Herbivory_48h_L	Herbivory	BTI	Leaf
Herbivory_48h_3_L	Herbivory_48h_L	Herbivory	BTI	Leaf
Herbivory_48h_4_L	Herbivory_48h_L	Herbivory	BTI	Leaf
Herbivory_48h_5_L	Herbivory_48h_L	Herbivory	BTI	Leaf
HappyLeaf_BTI_1_L	HappyLeaf_BTI_L	Happy Plants	BTI	Leaf
HappyLeaf_BTI_2_L	HappyLeaf_BTI_L	Happy Plants	BTI	Leaf
HappyLeaf_BTI_3_L	HappyLeaf_BTI_L	Happy Plants	BTI	Leaf
HappyLeaf_BTI_4_L	HappyLeaf_BTI_L	Happy Plants	BTI	Leaf
HappyLeaf_BTI_5_L	HappyLeaf_BTI_L	Happy Plants	BTI	Leaf
